field parcel,full crop loss scaled,partial crop loss scaled,partial path
0460023106-A,0.0,0.0,dataset1/0460023106-A_BANDS-S2-L1C.tiff
0460023510-A,0.0,0.0,dataset1/0460023510-A_BANDS-S2-L1C.tiff
0500127653-A,0.0,0.0,dataset1/0500127653-A_BANDS-S2-L1C.tiff
0500166958-A,0.0,0.0,dataset1/0500166958-A_BANDS-S2-L1C.tiff
0500392583-A,0.0,0.0,dataset1/0500392583-A_BANDS-S2-L1C.tiff
1520082047-A,0.0,0.0,dataset1/1520082047-A_BANDS-S2-L1C.tiff
0150129728-A,0.0,0.0,dataset1/0150129728-A_BANDS-S2-L1C.tiff
0150130132-A,0.0,0.0,dataset1/0150130132-A_BANDS-S2-L1C.tiff
1420502756-A,0.0,0.0,dataset1/1420502756-A_BANDS-S2-L1C.tiff
1450174854-A,0.0,0.0,dataset1/1450174854-A_BANDS-S2-L1C.tiff
1450327731-A,0.0,0.0,dataset1/1450327731-A_BANDS-S2-L1C.tiff
1450327832-A,0.0,0.0,dataset1/1450327832-A_BANDS-S2-L1C.tiff
1450327933-A,0.0,0.0,dataset1/1450327933-A_BANDS-S2-L1C.tiff
1456127018-A,0.0,0.0,dataset1/1456127018-A_BANDS-S2-L1C.tiff
1430880544-A,0.0,0.0,dataset1/1430880544-A_BANDS-S2-L1C.tiff
0690050926-A,0.0,0.0,dataset1/0690050926-A_BANDS-S2-L1C.tiff
1521068922-A,0.0,0.0,dataset1/1521068922-A_BANDS-S2-L1C.tiff
1400717079-B,0.0,0.0,dataset1/1400717079-B_BANDS-S2-L1C.tiff
1520426395-A,0.0,0.0,dataset1/1520426395-A_BANDS-S2-L1C.tiff
1450642272-A,0.0,0.0,dataset1/1450642272-A_BANDS-S2-L1C.tiff
0500058945-A,0.0,0.0,dataset1/0500058945-A_BANDS-S2-L1C.tiff
0500060561-A,0.0,0.0,dataset1/0500060561-A_BANDS-S2-L1C.tiff
0500094412-A,0.0,0.0,dataset1/0500094412-A_BANDS-S2-L1C.tiff
1490187354-A,0.0,0.0,dataset1/1490187354-A_BANDS-S2-L1C.tiff
0050122425-A,0.0,0.0,dataset1/0050122425-A_BANDS-S2-L1C.tiff
1400067381-A,0.0,0.0,dataset1/1400067381-A_BANDS-S2-L1C.tiff
0820107819-A,0.0,0.0,dataset1/0820107819-A_BANDS-S2-L1C.tiff
0820107920-A,0.0,0.0,dataset1/0820107920-A_BANDS-S2-L1C.tiff
